country_region,province_state,confirmed,deaths,peak_confirmed,peak_deaths,start_date,days,avg_confirmed,avg_deaths,c_thisweek,d_thisweek,after_peak,after_min,after_expeak,c_maxweek,d_maxweek,c_minweek,c_beforemax,death_rate,c_thisweek/avg,d_thisweek/avg,c_thisweek/maxweek,d_thisweek/maxweek,c_thisweek/beforemax
Afghanistan,-,20342,357,915.0,30.0,2020-02-24,73,277.36986301369865,4.835616438356165,727.125,13.5,3,69,16,741.625,13.5,16.0,493.125,0.017549896765313145,2.621499654286843,2.791784702549575,0.9804483397943705,1.0,1.4745247148288974
Albania,-,1246,34,34.0,4.0,2020-03-09,77,15.025974025974026,0.4155844155844156,15.5,0.125,44,20,65,21.625,1.375,9.625,18.375,0.027287319422150885,1.0315471045808124,0.30078125,0.7167630057803468,0.09090909090909091,0.8435374149659864
Algeria,-,10154,707,199.0,30.0,2020-02-25,79,127.39240506329114,8.810126582278482,110.875,7.625,40,77,22,129.625,22.125,46.666666666666664,182.625,0.06962773291313767,0.8703423092209858,0.8654813218390803,0.8553519768563163,0.3446327683615819,0.6071184120465435
Andorra,-,852,51,79.0,4.0,2020-03-02,78,9.794871794871796,0.6538461538461539,11.0,0.0,6,4,73,10.125,1.375,11.125,29.833333333333332,0.05985915492957746,1.1230366492146595,0.0,1.0864197530864197,0.0,0.3687150837988827
Argentina,-,22794,664,983.0,25.0,2020-03-03,80,283.7125,8.2625,822.5,17.0,2,79,11,825.125,13.5,30.5,677.375,0.029130472931473195,2.8990615499845798,2.0574886535552195,0.9968186638388123,1.2592592592592593,1.2142461708802361
Armenia,-,13130,200,766.0,19.0,2020-03-01,81,161.06172839506172,2.4691358024691357,525.375,9.125,1,63,10,525.375,8.875,51.125,383.75,0.015232292460015232,3.2619481066993714,3.695625,1.0,1.028169014084507,1.3690553745928338
Australia,Australian Capital Territory,108,3,3.0,1.0,2020-03-13,60,0.16666666666666666,0.016666666666666666,0.125,0.0,59,2,49,2.0,0.14285714285714285,0.125,0.25,0.027777777777777776,0.75,0.0,0.0625,0.0,0.5
Australia,New South Wales,3112,48,241.0,5.0,2020-01-26,86,35.18604651162791,0.5348837209302325,2.25,0.0,70,12,79,170.375,1.625,1.5,43.0,0.015424164524421594,0.06394580304031725,0.0,0.013206162876008804,0.0,0.05232558139534884
Australia,Queensland,1062,6,78.0,2.0,2020-01-29,81,12.037037037037036,0.08641975308641975,0.5,0.0,76,1,67,50.5,0.5,0.5,49.0,0.005649717514124294,0.04153846153846154,0.0,0.009900990099009901,0.0,0.01020408163265306
Australia,South Australia,440,4,65.0,1.0,2020-02-01,78,4.782051282051282,0.05128205128205128,0.0,0.0,74,13,65,33.6,0.5,0.125,18.75,0.00909090909090909,0.0,0.0,0.0,0.0,0.0
