,COUNTRY,MEASURE,LOG_TYPE,ADMIN_LEVEL_NAME,REGION,TYPE,CATEGORY,LEVEL,DATE_IMPLEMENTED,ENTRY_DATE
0,Australia,awareness campaigns,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-17,2020-03-21 00:00:00
1,Australia,border closure,*,-,Pacific,Introduction / extension of measures,Movement restrictions,*,2020-03-20,2020-03-21 00:00:00
2,Australia,changes in prison-related policies,*,-,Pacific,Introduction / extension of measures,Social distancing,*,2020-03-20,2020-03-21 00:00:00
3,Australia,closure of businesses and public services,*,-,Pacific,Introduction / extension of measures,Social distancing,*,2020-03-22,2020-03-22 00:00:00
4,Australia,domestic travel restrictions,*,-,Pacific,Introduction / extension of measures,Movement restrictions,"SA, WA, Tas, NT",2020-03-22,2020-03-22 00:00:00
5,Australia,economic measures,*,-,Pacific,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-01,2020-03-14 00:00:00
6,Australia,emergency administrative structures activated or established,*,-,Pacific,Introduction / extension of measures,Governance and socio-economic measures,*,2020-02-17,2020-03-14 00:00:00
7,Australia,general recommendations,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-22,2020-03-22 00:00:00
8,Australia,international flights suspension,*,-,Pacific,Introduction / extension of measures,Movement restrictions,*,2020-03-25,2020-03-25 00:00:00
9,Australia,isolation and quarantine policies,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-01,2020-03-14 00:00:00
10,Australia,limit public gatherings,*,-,Pacific,Introduction / extension of measures,Social distancing,*,2020-03-13,2020-03-14 00:00:00
11,Australia,lockdown,*,-,Pacific,Introduction / extension of measures,Lockdown,*,2020-03-23,2020-04-02 00:00:00
12,Australia,military deployment,*,-,Pacific,Introduction / extension of measures,Governance and socio-economic measures,Tas,2020-04-13,2020-04-14 00:00:00
13,Australia,other public health measures enforced,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-04-24,2020-04-27 00:00:00
14,Australia,psychological assistance and medical social work,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-25,2020-03-27 00:00:00
15,Australia,schools closure,*,-,Pacific,Introduction / extension of measures,Social distancing,"Vic, ACT",2020-03-22,2020-03-22 00:00:00
16,Australia,state of emergency declared,*,-,Pacific,Introduction / extension of measures,Governance and socio-economic measures,Vic,2020-04-12,2020-04-14 00:00:00
17,Australia,strengthening the public health system,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-12,2020-03-14 00:00:00
18,Australia,surveillance and monitoring,*,-,Pacific,Introduction / extension of measures,Movement restrictions,*,2020-03-28,2020-03-27 00:00:00
19,Australia,testing policy,*,-,Pacific,Introduction / extension of measures,Public health measures,*,2020-03-25,2020-03-25 00:00:00
20,Australia,visa restrictions,*,-,Pacific,Introduction / extension of measures,Movement restrictions,*,2020-03-01,2020-03-14 00:00:00
21,Canada,awareness campaigns,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-01-25,2020-03-26 00:00:00
22,Canada,border closure,*,-,Americas,Introduction / extension of measures,Movement restrictions,*,2020-03-14,2020-03-15 00:00:00
23,Canada,economic measures,*,-,Americas,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-11,2020-03-26 00:00:00
24,Canada,emergency administrative structures activated or established,*,-,Americas,Introduction / extension of measures,Governance and socio-economic measures,*,2020-02-02,2020-03-26 00:00:00
25,Canada,general recommendations,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-01-26,2020-03-26 00:00:00
26,Canada,health screenings in airports and border crossings,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-03-14,2020-03-15 00:00:00
27,Canada,international flights suspension,*,-,Americas,Introduction / extension of measures,Movement restrictions,*,2020-03-18,2020-03-26 00:00:00
28,Canada,isolation and quarantine policies,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-01-25,2020-03-26 00:00:00
29,Canada,limit public gatherings,*,-,Americas,Introduction / extension of measures,Social distancing,*,2020-03-13,2020-03-15 00:00:00
30,Canada,military deployment,*,-,Americas,Introduction / extension of measures,Governance and socio-economic measures,Quebec,2020-04-20,2020-05-14 00:00:00
31,Canada,other public health measures enforced,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-04-04,2020-04-22 00:00:00
32,Canada,requirement to wear protective gear in public,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-04-14,2020-04-22 00:00:00
33,Canada,schools closure,*,-,Americas,Introduction / extension of measures,Social distancing,*,2020-03-16,2020-03-16 00:00:00
34,Canada,state of emergency declared,*,-,Americas,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-17,2020-03-26 00:00:00
35,Canada,strengthening the public health system,*,-,Americas,Introduction / extension of measures,Public health measures,*,2020-03-13,2020-03-15 00:00:00
36,Canada,surveillance and monitoring,*,-,Americas,Introduction / extension of measures,Movement restrictions,*,2020-03-25,2020-04-21 00:00:00
37,Canada,visa restrictions,*,-,Americas,Introduction / extension of measures,Movement restrictions,*,2020-02-29,2020-03-25 00:00:00
38,China,additional health/documents requirements upon arrival,*,-,Asia,Introduction / extension of measures,Movement restrictions,Beijing,2020-03-24,2020-04-15 00:00:00
39,China,awareness campaigns,*,-,Asia,Introduction / extension of measures,Public health measures,*,2020-03-31,2020-04-16 00:00:00
40,China,border closure,*,-,Asia,Introduction / extension of measures,Movement restrictions,*,2020-04-03,2020-04-16 00:00:00
41,China,checkpoints within the country,*,-,Asia,Introduction / extension of measures,Movement restrictions,*,2020-04-20,2020-04-29 00:00:00
42,China,closure of businesses and public services,*,Hong Kong,Asia,Introduction / extension of measures,Social distancing,*,2020-03-23,2020-04-09 00:00:00
43,China,domestic travel restrictions,*,-,Asia,Introduction / extension of measures,Movement restrictions,Wuhan,2020-01-27,2020-03-15 00:00:00
44,China,economic measures,*,-,Asia,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-14,2020-03-15 00:00:00
45,China,economic measures,*,Hong Kong,Asia,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-23,2020-04-09 00:00:00
46,China,emergency administrative structures activated or established,*,-,Asia,Phase-out measure,Governance and socio-economic measures,Hubei,2020-05-02,2020-05-05 00:00:00
47,China,emergency administrative structures activated or established,*,Hong Kong,Asia,Introduction / extension of measures,Governance and socio-economic measures,*,2020-03-25,2020-04-09 00:00:00
48,China,general recommendations,*,-,Asia,Introduction / extension of measures,Public health measures,*,2020-03-16,2020-03-21 00:00:00
49,China,general recommendations,*,Hong Kong,Asia,Introduction / extension of measures,Public health measures,*,2020-03-17,2020-04-09 00:00:00
50,China,health screenings in airports and border crossings,*,-,Asia,Introduction / extension of measures,Public health measures,*,2020-01-22,2020-03-15 00:00:00
51,China,health screenings in airports and border crossings,*,Hong Kong,Asia,Introduction / extension of measures,Public health measures,*,2020-03-25,2020-04-09 00:00:00
52,China,international flights suspension,*,-,Asia,Introduction / extension of measures,Movement restrictions,*,2020-03-20,2020-04-15 00:00:00
